13:57:09 8192 MiB, 1464 MiB, 6428 MiB
13:57:11 8192 MiB, 1464 MiB, 6428 MiB
13:57:14 8192 MiB, 1464 MiB, 6428 MiB
13:57:16 8192 MiB, 1464 MiB, 6428 MiB
13:57:19 8192 MiB, 1464 MiB, 6428 MiB
13:57:21 8192 MiB, 1464 MiB, 6428 MiB
13:57:23 8192 MiB, 1449 MiB, 6443 MiB
13:57:26 8192 MiB, 1450 MiB, 6441 MiB
13:57:28 8192 MiB, 1822 MiB, 6070 MiB
13:57:30 8192 MiB, 1451 MiB, 6440 MiB
13:57:33 8192 MiB, 1447 MiB, 6444 MiB
13:57:36 8192 MiB, 1448 MiB, 6443 MiB
13:57:38 8192 MiB, 1587 MiB, 6305 MiB
13:57:41 8192 MiB, 1586 MiB, 6306 MiB
13:57:43 8192 MiB, 1586 MiB, 6306 MiB
13:57:45 8192 MiB, 1586 MiB, 6306 MiB
13:57:48 8192 MiB, 1585 MiB, 6307 MiB
13:57:50 8192 MiB, 1586 MiB, 6306 MiB
13:57:53 8192 MiB, 1587 MiB, 6305 MiB
13:57:55 8192 MiB, 2145 MiB, 5747 MiB
13:57:58 8192 MiB, 2144 MiB, 5748 MiB
13:58:00 8192 MiB, 2144 MiB, 5748 MiB
13:58:03 8192 MiB, 2143 MiB, 5749 MiB
13:58:05 8192 MiB, 1592 MiB, 6300 MiB
13:58:08 8192 MiB, 1595 MiB, 6296 MiB
13:58:10 8192 MiB, 1591 MiB, 6301 MiB
13:58:12 8192 MiB, 1618 MiB, 6274 MiB
13:58:15 8192 MiB, 1618 MiB, 6274 MiB
13:58:17 8192 MiB, 1619 MiB, 6273 MiB
13:58:19 8192 MiB, 1620 MiB, 6271 MiB
13:58:22 8192 MiB, 1618 MiB, 6273 MiB
13:58:24 8192 MiB, 1620 MiB, 6271 MiB
13:58:26 8192 MiB, 1621 MiB, 6271 MiB
13:58:29 8192 MiB, 1620 MiB, 6271 MiB
13:58:31 8192 MiB, 1620 MiB, 6271 MiB
13:58:33 8192 MiB, 1618 MiB, 6273 MiB
13:58:36 8192 MiB, 1620 MiB, 6271 MiB
13:58:38 8192 MiB, 1620 MiB, 6271 MiB
13:58:40 8192 MiB, 1620 MiB, 6271 MiB
13:58:42 8192 MiB, 1616 MiB, 6275 MiB
13:58:45 8192 MiB, 1620 MiB, 6271 MiB
13:58:47 8192 MiB, 1621 MiB, 6270 MiB
13:58:49 8192 MiB, 1621 MiB, 6270 MiB
13:58:52 8192 MiB, 1621 MiB, 6270 MiB
13:58:54 8192 MiB, 1622 MiB, 6270 MiB
13:58:56 8192 MiB, 1622 MiB, 6270 MiB
13:58:58 8192 MiB, 1622 MiB, 6270 MiB
13:59:01 8192 MiB, 1617 MiB, 6274 MiB
13:59:03 8192 MiB, 1620 MiB, 6271 MiB
13:59:06 8192 MiB, 1617 MiB, 6274 MiB
13:59:08 8192 MiB, 1622 MiB, 6269 MiB
13:59:10 8192 MiB, 1617 MiB, 6275 MiB
13:59:12 8192 MiB, 1616 MiB, 6276 MiB
13:59:15 8192 MiB, 1616 MiB, 6276 MiB
13:59:17 8192 MiB, 1617 MiB, 6275 MiB
13:59:19 8192 MiB, 1616 MiB, 6276 MiB
13:59:22 8192 MiB, 1616 MiB, 6276 MiB
13:59:24 8192 MiB, 1616 MiB, 6276 MiB
13:59:27 8192 MiB, 1617 MiB, 6275 MiB
13:59:29 8192 MiB, 1616 MiB, 6276 MiB
13:59:32 8192 MiB, 1616 MiB, 6276 MiB
13:59:34 8192 MiB, 1616 MiB, 6276 MiB
13:59:37 8192 MiB, 1615 MiB, 6277 MiB
13:59:40 8192 MiB, 1615 MiB, 6277 MiB
13:59:42 8192 MiB, 1615 MiB, 6277 MiB
13:59:45 8192 MiB, 1616 MiB, 6276 MiB
13:59:49 8192 MiB, 1614 MiB, 6278 MiB
13:59:51 8192 MiB, 1615 MiB, 6277 MiB
13:59:54 8192 MiB, 1616 MiB, 6276 MiB
13:59:56 8192 MiB, 1615 MiB, 6277 MiB
13:59:58 8192 MiB, 1615 MiB, 6276 MiB
14:00:01 8192 MiB, 1615 MiB, 6276 MiB
14:00:03 8192 MiB, 1615 MiB, 6276 MiB
14:00:05 8192 MiB, 1615 MiB, 6276 MiB
14:00:08 8192 MiB, 1615 MiB, 6276 MiB
14:00:10 8192 MiB, 1616 MiB, 6275 MiB
14:00:13 8192 MiB, 1616 MiB, 6276 MiB
14:00:15 8192 MiB, 1615 MiB, 6277 MiB
14:00:18 8192 MiB, 1615 MiB, 6277 MiB
14:00:20 8192 MiB, 1612 MiB, 6279 MiB
14:00:22 8192 MiB, 1607 MiB, 6284 MiB
14:00:25 8192 MiB, 1607 MiB, 6284 MiB
14:00:27 8192 MiB, 1616 MiB, 6276 MiB
14:00:30 8192 MiB, 1606 MiB, 6286 MiB
14:00:32 8192 MiB, 1609 MiB, 6283 MiB
14:00:34 8192 MiB, 1607 MiB, 6284 MiB
14:00:37 8192 MiB, 1604 MiB, 6287 MiB
14:00:39 8192 MiB, 1590 MiB, 6302 MiB
14:00:42 8192 MiB, 1585 MiB, 6306 MiB
