survivors scored killed    k/s  function
       74    141     67  47.5%  host.Server.handle_line
       47     75     28  37.3%  host.Server.status
       43     89     46  51.7%  state.x_host_status
       38     80     42  52.5%  client.Client.status
       35    104     69  66.3%  client.Client.stop
       30     81     51  63.0%  identity.KeepKey.from_dict
       26     60     34  56.7%  host.Server._write_record
       26     45     19  42.2%  client.Client._call
       25    100     75  75.0%  client.Client.decide
       24    126    102  81.0%  state.HostRecord.from_dict
       24     49     25  51.0%  client.Client._wait_ready
       23     31      8  25.8%  state.x__is_zombie
       22     85     63  74.1%  client.Client.spawn_host
       21     32     11  34.4%  client.x_typed_error_from_wire
       20     36     16  44.4%  client.Client.ensure
       16     52     36  69.2%  host.Server.serve
       16     37     21  56.8%  host.x_read_line
       15    114     99  86.8%  identity.KeepKey.of
       15     37     22  59.5%  client.x__spawn_detached
       13     21      8  38.1%  client.Client._log_tail
       13     18      5  27.8%  client.Client._abandon
       12     29     17  58.6%  client.Client.request
       12     15      3  20.0%  client.Client._discard
       11     41     30  73.2%  state.x__write_private
       10     83     73  88.0%  host.HostSpec.from_dict
        9     45     36  80.0%  host.Server._fail
        9     28     19  67.9%  client.Client.child_env
        8     16      8  50.0%  host.x_read_reply
        7     32     25  78.1%  identity.KeepKey.describe
        7     25     18  72.0%  client.Client._mark
        7     15      8  53.3%  state.x_write_record
        6     25     19  76.0%  identity.x_parse_duration
        6     22     16  72.7%  host.Server.bind
        6     14      8  57.1%  host.HostSpec.save
        6     10      4  40.0%  host.Server._cleanup
        5     23     18  78.3%  identity.x_resolve_keep_alive
        5     17     12  70.6%  host.Server._serve_connection
        5     17     12  70.6%  host.Server.__init__
        5     16     11  68.8%  state.x_pid_alive
        5     12      7  58.3%  state.x_socket_path
        5     10      5  50.0%  host.Server._install_signals
        4     18     14  77.8%  client.Client.__init__
        4     17     13  76.5%  client.x__credit_the_spawn
        4     15     11  73.3%  state.x_wait_pid_gone
        4     14     10  71.4%  state.x_ensure_dir
        4     14     10  71.4%  client.x__listening
        4     10      6  60.0%  host.x__listening
        3     13     10  76.9%  host.x_read_spec
        3      7      4  57.1%  identity.x_model_identity
        2     28     26  92.9%  host.HostSpec.to_dict
        2      9      7  77.8%  state.x_read_record
        1     16     15  93.8%  state.x_clear_record
        1      9      8  88.9%  host.Loaded.close
        1      2      1  50.0%  state.x_state_path
        1      2      1  50.0%  state.x_spec_path
        1      2      1  50.0%  state.x_log_path
        1      2      1  50.0%  client.TransportError.__init__
        0     22     22 100.0%  identity.KeepKey.to_dict
        0     18     18 100.0%  client.x__error_classes
        0     14     14 100.0%  identity.x_supported
        0     12     12 100.0%  host.x__error
        0      6      6 100.0%  identity.x__bad_duration
        0      5      5 100.0%  state.HostRecord.to_dict
        0      4      4 100.0%  identity.x__optional_int
        0      3      3 100.0%  state.x_data_home_path
        0      3      3 100.0%  state.x_alive
        0      2      2 100.0%  state.x_keep_dir
        0      1      1 100.0%  state.HostRecord.replace
keep package: killed=1424 survived=752 unrun=0 -> 65.4% of the scored mutants
