Name                                    Stmts   Miss  Cover
-----------------------------------------------------------
src/ggufone/__init__.py                     2      0   100%
src/ggufone/__main__.py                     1      1     0%
src/ggufone/api/__init__.py                 0      0   100%
src/ggufone/api/http.py                     0      0   100%
src/ggufone/api/mcp.py                      0      0   100%
src/ggufone/bench/__init__.py               0      0   100%
src/ggufone/bench/compare.py              112      0   100%
src/ggufone/bench/devset.py               144     16    89%
src/ggufone/bench/harness.py              467     32    93%
src/ggufone/bench/isolation.py            359      0   100%
src/ggufone/bench/labels.py               102      2    98%
src/ggufone/bench/suites.py               444      5    99%
src/ggufone/calibration/__init__.py         0      0   100%
src/ggufone/calibration/calibrate.py      311      8    97%
src/ggufone/calibration/routing.py        256      5    98%
src/ggufone/calibration/stats.py          116      5    96%
src/ggufone/cli.py                        905    111    88%
src/ggufone/engine/__init__.py              0      0   100%
src/ggufone/engine/decide.py              325     14    96%
src/ggufone/engine/prompt.py               56      3    95%
src/ggufone/engine/readout.py              88      0   100%
src/ggufone/engine/session.py             394    108    73%
src/ggufone/engine/template.py           1035    169    84%
src/ggufone/errors.py                      52      0   100%
src/ggufone/registry/__init__.py            0      0   100%
src/ggufone/registry/gguf.py              102      2    98%
src/ggufone/registry/hf.py                242     32    87%
src/ggufone/registry/recommend.py         200     21    90%
src/ggufone/registry/store.py             168     10    94%
src/ggufone/runtime/__init__.py             0      0   100%
src/ggufone/runtime/capability.py         251     25    90%
src/ggufone/runtime/ctypes_binding.py     118     57    52%
src/ggufone/runtime/devices.py             53      0   100%
src/ggufone/runtime/finder.py              98      3    97%
src/ggufone/runtime/fit.py                461     16    97%
src/ggufone/runtime/install.py            281     47    83%
src/ggufone/runtime/isolated.py            73     10    86%
src/ggufone/runtime/pins.py               156      4    97%
src/ggufone/runtime/probe_child.py         33      6    82%
src/ggufone/schema.py                     250     11    96%
-----------------------------------------------------------
TOTAL                                    7655    723    91%
