=== sweep attempt 1 (2026-09-20T11:07:07+00:00) ===
sweep finished on attempt 1
--- results ---
    ggufone.engine.prompt.x_render_value__mutmut_2: survived
    ggufone.engine.prompt.x_render_value__mutmut_3: survived
    ggufone.engine.prompt.x_render_value__mutmut_4: survived
    ggufone.engine.prompt.x_render_value__mutmut_5: survived
    ggufone.engine.prompt.x_render_value__mutmut_6: survived
    ggufone.engine.prompt.x_render_value__mutmut_7: survived
    ggufone.engine.prompt.x_render_value__mutmut_8: survived
    ggufone.engine.prompt.x_render_value__mutmut_9: survived
    ggufone.engine.prompt.x_render_value__mutmut_10: survived
    ggufone.engine.prompt.x_render_value__mutmut_11: survived
    ggufone.engine.prompt.x_render_value__mutmut_12: survived
    ggufone.engine.prompt.x_render_value__mutmut_13: survived
    ggufone.engine.prompt.x_render_instructions__mutmut_2: survived
    ggufone.engine.prompt.x_render_instructions__mutmut_3: survived
    ggufone.engine.prompt.x_render_instructions__mutmut_4: survived
    ggufone.engine.prompt.xǁRoleSplitRenderǁtail_for__mutmut_5: survived
    ggufone.engine.prompt.x_question_block__mutmut_1: survived
    ggufone.engine.prompt.x_question_block__mutmut_2: survived
    ggufone.engine.prompt.x_question_block__mutmut_16: survived
    ggufone.engine.prompt.x_question_block__mutmut_19: survived
    ggufone.engine.prompt.x_question_block__mutmut_20: survived
    ggufone.engine.prompt.x_question_block__mutmut_24: survived
    ggufone.engine.prompt.x_question_block__mutmut_25: survived
    ggufone.engine.prompt.x_question_block__mutmut_30: survived
    ggufone.engine.prompt.x_question_block__mutmut_31: survived
    ggufone.engine.prompt.x_question_block__mutmut_32: survived
    ggufone.engine.prompt.x_question_block__mutmut_35: survived
    ggufone.engine.prompt.x_question_block__mutmut_38: survived
    ggufone.engine.prompt.x_question_block__mutmut_39: survived
    ggufone.engine.prompt.x_question_block__mutmut_43: survived
    ggufone.engine.prompt.x_question_block__mutmut_44: survived
    ggufone.engine.prompt.x_question_block__mutmut_45: survived
    ggufone.engine.prompt.x_question_block__mutmut_46: survived
    ggufone.engine.prompt.x_question_block__mutmut_48: survived
    ggufone.engine.prompt.x_question_block__mutmut_49: survived
    ggufone.engine.prompt.x_question_block__mutmut_50: survived
    ggufone.engine.prompt.x_question_block__mutmut_51: survived
    ggufone.engine.prompt.x__common_prefix__mutmut_7: survived
    ggufone.engine.prompt.x__common_prefix__mutmut_11: timeout
    ggufone.engine.prompt.x__common_prefix__mutmut_13: survived
cache summary failed: no such table: mutant
=== sweep done (2026-09-20T11:07:56+00:00) ===
